frase,palabra,significado_correcto,traduccion_es,Significados_es
汤姆几乎跟他爸一样高。,一,,Tom era casi tan alto como su padre.,"uno; soltero; a (artículo); tan pronto como; completo; entero; todo; a lo largo de; ""Uno"" radical en caracteres chinos (Kangxi Radical 1); también pr. [Yao1] Para mayor claridad al deletrear números dígitos por dígito"
他告诉我她的小秘密。,小,,Me contó su pequeño secreto.,pequeño; diminuto; pocos; joven
别忘了把香烟熄掉。,了,,No olvides apagar los cigarrillos.,"para terminar; (utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar""); (literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no); completamente (no); (de ninguna manera; para entender claramente (variante de 瞭 | 了 [liao3])"
他把他的放在了我的肩上。,了,,Puso sus cosas en mi hombro.,"para terminar; (utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar""); (literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no); completamente (no); (de ninguna manera; para entender claramente (variante de 瞭 | 了 [liao3])"
我今早起床時天正在下雨。,早,,Me desperté esta mañana cuando llovió.,temprano; mañana; ¡Buen día!; hace mucho tiempo; prematuramente
我們過多久才能離開？,多,,¿Cuánto tiempo nos llevará irnos?,muchos; mucho; más; mucho; demasiado; en exceso; (después de un número) ... impar; cómo (en qué medida) (Taiwán pr. [duo2]); (forma unida) múltiple; escuela politécnica-
他們漫不經心還未察覺到危險。,心,,No son conscientes del peligro.,"corazón; mente; intención; centro; centro; CL: 顆 | 颗 [Ke1], 個 | 个 [GE4]"
公司的医疗保险覆盖了全部的医疗费用。,了,,El seguro médico de la empresa cubre el costo total de la atención médica.,"para terminar; (utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar""); (literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no); completamente (no); (de ninguna manera; para entender claramente (variante de 瞭 | 了 [liao3])"
我要吃本地菜，浓油赤酱的栗子红烧肉。,肉,,"Voy a comer comida local, caliente y roja con castañas.",carne; carne; pulpa (de una fruta); (coll.) (de una fruta) Squashy; (de una persona) Flabby; irresoluto; Kangxi Radical 130
爱民主就是爱平等。,主,,El amor a la democracia es el amor a la igualdad.,dueño; maestro; anfitrión; individuo o parte preocupado; Dios; Caballero; principal; para indicar o significar; Tarjeta Trump (en juegos de cartas)
瑪麗婭花很多錢買衣服。,花,,María gastó mucho dinero en ropa.,"flor; florecer; Cl: 朵 [duo3], 支 [zhi1], 束 [shu4], 把 [ba3], 盆 [Pen2], 簇 [Cu4]; patrón elegante; florido; gastar (dinero, tiempo); (coll.) lujurioso; libidinoso"
"買這麼貴的機器真是浪費, 而他甚至不知道怎麼用電腦。",道,,"Comprar una máquina tan cara es un desperdicio, y ni siquiera sabe cómo usar una computadora.","camino; ruta (cl: 條 | 条 [tiao2], 股 [gu3]); (forma unida) forma; razón; principio; (forma unida) una habilidad; un arte; una especialización; (Taoísmo) el camino; el dao; decir (introducir una cita directa, como en una novela); (forma unida) para expresar; extender (palabras educadas); Clasificador para cosas largas y delgadas (ríos, grietas, etc.), barreras (paredes, puertas, etc.), preguntas (en un examen, etc.), comandos, cursos en una comida, pase en un proceso; (antiguo) Circuito (división administrativa)"
湯姆現在能照顧自己了。,了,,Tom puede cuidar de sí mismo ahora.,"para terminar; (utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar""); (literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no); completamente (no); (de ninguna manera; para entender claramente (variante de 瞭 | 了 [liao3])"
还记得咱们造木桥那时候么？,么,,¿Recuerdas cuando construimos el Woodbridge?,"más joven; la mayoría de los junior; diminuto; una (forma hablada inequívoca al explicar números, especialmente por teléfono o en militares); uno o as en dados o dominó; variante de 吆 [yao1], gritar"
就算是這樣，也不要用「漂亮」來形容男人嘛。,要,,"Aun así, no uses ""hermoso"" para describir a los hombres.",querer; necesitar; pedir; voluntad; deber; a punto de; necesidad de; debería; if (igual que 要是 [yao4 shi5]); (forma unida) importante
一日之计在于晨。,一,,El plan de un día es por la mañana.,"uno; soltero; a (artículo); tan pronto como; completo; entero; todo; a lo largo de; ""Uno"" radical en caracteres chinos (Kangxi Radical 1); también pr. [Yao1] Para mayor claridad al deletrear números dígitos por dígito"
你们是医生。,生,,Ustedes son médicos.,nacer; dar a luz; vida; crecer; crudo; crudo; alumno
汤姆可能还活着。,可能,,Tom aún podría estar vivo.,podría (pasar); posible; probable; posibilidad; probabilidad; tal vez; tal vez; CL: 個 | 个 [GE4]
我不喜欢看电视。,看,,No me gusta ver televisión.,para ver; mirar; para leer; para mirar; para visitar; llamar; considerar; considerar como; cuidar; tratar (un paciente o enfermedad); depender de; sentir (que); (después de un verbo) para probarlo; Para tener en cuenta
這個表格好像有點複雜，你可以幫我填嗎？,有,,Este formulario parece complicado. ¿Podría llenarlo por mí?,tener; hay; (forma unida) tener; con; -ful; -Ed; -al (como en 有意 [yo3yi4] intencional)
他说戴维斯必须被抓住。,被,,Dijo que Davis tenía que ser atrapado.,"colcha; para cubrir (con); (literario) sufrir (una desgracia); se usa para indicar la voz pasiva (colocada ante el hacedor de la acción como ""por"" en las oraciones de voz pasiva inglesa, o, si no se menciona el hacedor, antes del verbo); (desde c. 2009) (sarcástico o jocoso) solía indicar que la siguiente palabra debe considerarse como cotizaciones de aire (como en 被旅遊 | 被旅游 [bei4 lu: 3you2] para ""hacer un viaje"")"
我记得见过皇后。,后,,Recuerdo haber visto a la reina.,emperatriz; reina; (arcaico) monarca; gobernante
如果她知道他的电话号，就能打电话给他。,道,,"Si ella sabe su número, puede llamarle.","camino; ruta (cl: 條 | 条 [tiao2], 股 [gu3]); (forma unida) forma; razón; principio; (forma unida) una habilidad; un arte; una especialización; (Taoísmo) el camino; el dao; decir (introducir una cita directa, como en una novela); (forma unida) para expresar; extender (palabras educadas); Clasificador para cosas largas y delgadas (ríos, grietas, etc.), barreras (paredes, puertas, etc.), preguntas (en un examen, etc.), comandos, cursos en una comida, pase en un proceso; (antiguo) Circuito (división administrativa)"
我聽不懂她在說甚麼。,在,,No entiendo lo que está diciendo.,existir; estar vivo; (de SB o STH) para ser (ubicado) en; (usado antes de un verbo para indicar una acción en progreso)
这是我奶奶的食谱。,是,,Esta es la receta de mi abuela.,ser (seguido solo por sustantivos); correcto; bien; verdadero; (Reconocimiento respetuoso de un comando) muy bien; (Adverbio para afirmación enfática)
请告诉我们你家庭的状况。,家,,"Por favor, háblanos de tu familia.","hogar; familia; (educado) mi (hermana, tío, etc.); clasificador para familias o empresas; se refiere a las escuelas filosóficas de Pre-Han China; sufijo sustantivo para un especialista en alguna actividad, como un músico o revolucionario, correspondiente al inglés -ist, -er, -ary o -ian; CL: 個 | 个 [GE4]"
为了不感冒，请带上这件毛衣。,了,,"Para no resfriarse, por favor, traiga este suéter.","para terminar; (utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar""); (literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no); completamente (no); (de ninguna manera; para entender claramente (variante de 瞭 | 了 [liao3])"
我觉得汤姆有危险了。,有,,Creo que Tom está en peligro.,tener; hay; (forma unida) tener; con; -ful; -Ed; -al (como en 有意 [yo3yi4] intencional)
他們總是在抱怨。,是,,Siempre se quejan.,ser (seguido solo por sustantivos); correcto; bien; verdadero; (Reconocimiento respetuoso de un comando) muy bien; (Adverbio para afirmación enfática)
我依稀記得見過他。,得,,Apenas recuerdo haberlo visto.,tener que; debe; debería; necesitar
我站著睡覺。,站,,Estoy de pie y durmiendo.,estación; para pararse; detenerse; parar; rama de una empresa u organización; sitio web
我很放松。,放,,Estoy relajado.,Poner; colocar; para liberar; para liberar; para dejar ir; dejar salir; Para encender (fuegos artificiales)
请过目25页的地图。,目,,Pase la página 25 del mapa.,ojo; (literario) para mirar; considerar; ojo (de una red); malla; tamaño de malla; tamaño de arena (abbr. para 目數 | 目数 [mu4 shu4]); artículo; sección; lista; catalogar; (Taxonomía) orden; nombre; título
我们就要到了。,要,,Ya casi llegamos.,querer; necesitar; pedir; voluntad; deber; a punto de; necesidad de; debería; if (igual que 要是 [yao4 shi5]); (forma unida) importante
今天买的这几件吊带不适合夏天穿。,穿,,Las correas que compramos hoy no son para el verano.,para usar; Ponerse; para vestirse; para atravesar; para perforar; perforar; para penetrar; pasar a través de; a hilo
麻煩您稍待一下。,一,,Disculpe un momento.,"uno; soltero; a (artículo); tan pronto como; completo; entero; todo; a lo largo de; ""Uno"" radical en caracteres chinos (Kangxi Radical 1); también pr. [Yao1] Para mayor claridad al deletrear números dígitos por dígito"
他聽到某人叫救命。,叫,,Oyó a alguien pidiendo ayuda.,gritar; llamar; para ordenar; preguntar; ser llamado; por (indica agente en el estado de ánimo pasivo)
“全世界的各位，你们好！”,位,,"""¡Hola, gente del mundo!""","posición; ubicación; lugar; asiento; clasificador para personas (honoríficas); clasificador para bits binarios (por ejemplo, 十六位 十六位 十六位 十六位 十六位 十六位 16 bits o 2 bytes); (Física) potencial"
這個詞源自于希臘語。,于,,La palabra se originó en griego.,ir; tomar; partícula interrogativa de oración final; variante de 於 | 于 [yu2]
這是一部低成本的電影。,一,,Es una película de bajo costo.,"uno; soltero; a (artículo); tan pronto como; completo; entero; todo; a lo largo de; ""Uno"" radical en caracteres chinos (Kangxi Radical 1); también pr. [Yao1] Para mayor claridad al deletrear números dígitos por dígito"
我把我的相機借給了湯姆和保拉。,了,,Le presté mi cámara a Tom y Paula.,"para terminar; (utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar""); (literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no); completamente (no); (de ninguna manera; para entender claramente (variante de 瞭 | 了 [liao3])"
请问去大世界怎么走？,世,,¿Cuál es el camino al gran mundo?,vida; edad; generación; era; mundo; vida; época; descendiente; noble
行了！就十元买五斤吧。,了,,"Muy bien, cinco libras por diez dólares.","para terminar; (utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar""); (literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no); completamente (no); (de ninguna manera; para entender claramente (variante de 瞭 | 了 [liao3])"
我的腿比你的小。,比,,Mis piernas son más pequeñas que las tuyas.,para comparar; (seguido de un sustantivo y adjetivo) más {adj.} que {sustantivo}; relación; al gesto; (Taiwán pr. [Bi4] en algunos compuestos derivados del chino clásico)
"如果她的體溫上升, 派人去請醫生來。",如果,,"Si su temperatura sube, envía a alguien a buscar un médico.",si; En caso; en caso de que
我不知道它是好是壞。,道,,No sé si es bueno o malo.,"camino; ruta (cl: 條 | 条 [tiao2], 股 [gu3]); (forma unida) forma; razón; principio; (forma unida) una habilidad; un arte; una especialización; (Taoísmo) el camino; el dao; decir (introducir una cita directa, como en una novela); (forma unida) para expresar; extender (palabras educadas); Clasificador para cosas largas y delgadas (ríos, grietas, etc.), barreras (paredes, puertas, etc.), preguntas (en un examen, etc.), comandos, cursos en una comida, pase en un proceso; (antiguo) Circuito (división administrativa)"
那里的天气怎么样？,里,,¿Cómo estuvo el tiempo allí?,"li, medida antigua de longitud, aprox. 500 m; vecindario; Antigua unidad administrativa de 25 familias; (TW) Borough, Unidad Administrativa entre el municipio 鎮 | 镇 [Zhen4] y el vecindario 鄰 | 邻 [Lin2] Niveles"
他狀態真的很好。,真,,Está en muy buena forma.,en realidad; realmente; en efecto; real; verdadero; genuino
他费了不少劲，爬上了那棵树。,了,,Se tomó muchas molestias para subir a ese árbol.,"para terminar; (utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar""); (literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no); completamente (no); (de ninguna manera; para entender claramente (variante de 瞭 | 了 [liao3])"
我希望你早点告诉我。,早,,Ojalá me lo hubieras dicho antes.,temprano; mañana; ¡Buen día!; hace mucho tiempo; prematuramente
这是场长久的战争。,是,,Fue una guerra larga.,ser (seguido solo por sustantivos); correcto; bien; verdadero; (Reconocimiento respetuoso de un comando) muy bien; (Adverbio para afirmación enfática)
他同我说德语。,同,,Hablaba alemán conmigo.,como; mismo; similar; juntos; similar; con
湯姆和我是好朋友。,是,,Tom y yo somos buenos amigos.,ser (seguido solo por sustantivos); correcto; bien; verdadero; (Reconocimiento respetuoso de un comando) muy bien; (Adverbio para afirmación enfática)
第二個吧。,第,,La segunda.,"(prefijo que indique el número ordinal, como en 第六 [di4-liu4] ""sexto""); Grados (literarios) en los que se colocaron candidatos exitosos en los exámenes imperiales; (antigua) residencia de un alto funcionario; (literario) pero; sin embargo; (literario) solo; justo"
怎么会是在一所私校呢？,一,,¿Cómo puede ser una escuela privada?,"uno; soltero; a (artículo); tan pronto como; completo; entero; todo; a lo largo de; ""Uno"" radical en caracteres chinos (Kangxi Radical 1); también pr. [Yao1] Para mayor claridad al deletrear números dígitos por dígito"
我們不在波士頓。,在,,No estamos en Boston.,existir; estar vivo; (de SB o STH) para ser (ubicado) en; (usado antes de un verbo para indicar una acción en progreso)
我確定他會生氣。,生,,Estoy seguro de que se enfadará.,nacer; dar a luz; vida; crecer; crudo; crudo; alumno
在你忘記之前把它寫下來。,前,,Escríbelo antes de olvidarlo.,"frente; adelante; adelante; primero; arriba (seguido de un número); futuro; atrás; antes; BC (por ejemplo, 前 293年); anterior; antes"
全都好吃！,全,,¡Está todo bien!,todo; entero; completo; cada; completo
这本字典是我的。,字,,Este diccionario es mío.,carta; símbolo; personaje; palabra; CL: 個 | 个 [GE4]; Cortesía o nombre de estilo tradicionalmente dado a hombres de 20 años en China Dynastic
我对那些事记忆犹新，就好像发生在昨天。,像,,"Mis recuerdos de esas cosas son frescos, como si hubieran ocurrido ayer.",parecerse; ser como; parecer como si; como; apariencia; imagen; retrato; Imagen bajo una mapeo (matemáticas)
我很冷。你介意把暖气打开吗？,意,,Tengo frío. ¿Te importa encender el calor?,idea; significado; pensamiento; pensar; desear; deseo; intención; esperar; para anticipar
不要插手我的私生活。,手,,No interfieras con mi vida privada.,"mano; (formal) para sostener; persona dedicada a ciertos tipos de trabajo; persona experta en ciertos tipos de trabajo; personalmente); conveniente; clasificador para habilidad; Cl: 雙 | 双 [shuang1], 隻 | 只 [zhi1]"
我买了两条裤子。,了,,Compré dos pantalones.,"para terminar; (utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar""); (literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no); completamente (no); (de ninguna manera; para entender claramente (variante de 瞭 | 了 [liao3])"
那董事長在公司有點地位，就自以為很了不起。,位,,El presidente tiene una posición en la compañía y piensa que es increíble.,"posición; ubicación; lugar; asiento; clasificador para personas (honoríficas); clasificador para bits binarios (por ejemplo, 十六位 十六位 十六位 十六位 十六位 十六位 16 bits o 2 bytes); (Física) potencial"
俗話說：不入虎穴，焉得虎子；可俗話又說：老虎屁股摸不得！,老,,"El dicho es: ""No entres en la guarida de un tigre"". Pero el dicho dice: ""No puedes tocar el culo de un tigre"".","prefijo utilizado antes del apellido de una persona o un número que indica el orden de nacimiento de los niños en una familia o para indicar afecto o familiaridad; viejo (de la gente); venerable (persona); experimentado; de larga data; siempre; todo el tiempo; del pasado; muy; anticuado; (de carne, etc.) duro"
不，謝謝你。我吃飽了。,了,,"No, gracias, estoy lleno.","para terminar; (utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar""); (literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no); completamente (no); (de ninguna manera; para entender claramente (variante de 瞭 | 了 [liao3])"
替我寄了那封信！,了,,¡Envíame esa carta!,"para terminar; (utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar""); (literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no); completamente (no); (de ninguna manera; para entender claramente (variante de 瞭 | 了 [liao3])"
请用铅笔写您的名字。,字,,"Por favor, escriba su nombre en un lápiz.",carta; símbolo; personaje; palabra; CL: 個 | 个 [GE4]; Cortesía o nombre de estilo tradicionalmente dado a hombres de 20 años en China Dynastic
拜託，快開門。,快,,"Por favor, abre la puerta.",rápido; rápido; velocidad; tasa; pronto; casi; para apresurar; inteligente; agudo (de cuchillos o ingenio); directo; franco; gratificado; complacido; agradable
在所有的游戏里有最重要的特点: 它们都拥有法则。,有,,Hay las características más importantes en todos los juegos: todos tienen las reglas.,tener; hay; (forma unida) tener; con; -ful; -Ed; -al (como en 有意 [yo3yi4] intencional)
对动物来说这不是什么残酷的事情。,事,,No es algo cruel para los animales.,"asunto; cosa; artículo; trabajar; amorío; CL: 件 [Jian4], 樁 | 桩 [Zhuang1], 回 [Hui2]"
汤姆可能还在学法语。,可能,,Tom todavía puede estar estudiando francés.,podría (pasar); posible; probable; posibilidad; probabilidad; tal vez; tal vez; CL: 個 | 个 [GE4]
那家店賣筆記本嗎？,家,,¿Esa tienda vende cuadernos?,"hogar; familia; (educado) mi (hermana, tío, etc.); clasificador para familias o empresas; se refiere a las escuelas filosóficas de Pre-Han China; sufijo sustantivo para un especialista en alguna actividad, como un músico o revolucionario, correspondiente al inglés -ist, -er, -ary o -ian; CL: 個 | 个 [GE4]"
這超出了我的想像範圍。,像,,Está más allá de mi imaginación.,parecerse; ser como; parecer como si; como; apariencia; imagen; retrato; Imagen bajo una mapeo (matemáticas)
房里闻起来有股烟味。,有,,La habitación huele a humo.,tener; hay; (forma unida) tener; con; -ful; -Ed; -al (como en 有意 [yo3yi4] intencional)
匈牙利和斯洛伐克是邻国。,是,,Hungría y Eslovaquia son países vecinos.,ser (seguido solo por sustantivos); correcto; bien; verdadero; (Reconocimiento respetuoso de un comando) muy bien; (Adverbio para afirmación enfática)
汤姆在澳大利亚呆了三年。,年,,Tom pasó tres años en Australia.,año; CL: 個 | 个 [GE4]
为什么你送给他这个礼物？,么,,¿Por qué le diste este regalo?,"más joven; la mayoría de los junior; diminuto; una (forma hablada inequívoca al explicar números, especialmente por teléfono o en militares); uno o as en dados o dominó; variante de 吆 [yao1], gritar"
她總是隨心所欲。,心,,Siempre hace lo que quiere.,"corazón; mente; intención; centro; centro; CL: 顆 | 颗 [Ke1], 個 | 个 [GE4]"
汤姆在拉斯维加斯里结婚了。,了,,Tom se casó en Las Vegas.,"para terminar; (utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar""); (literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no); completamente (no); (de ninguna manera; para entender claramente (variante de 瞭 | 了 [liao3])"
玛丽把一些花放进了花瓶。,一,,Mary puso flores en el jarrón.,"uno; soltero; a (artículo); tan pronto como; completo; entero; todo; a lo largo de; ""Uno"" radical en caracteres chinos (Kangxi Radical 1); también pr. [Yao1] Para mayor claridad al deletrear números dígitos por dígito"
請給我一點兒水。,水,,"Dame un poco de agua, por favor.",agua; (después de un nombre) ... río; nadar (utilizado principalmente en 會水 | 会水 [Hui4shui3] y 水性 [shui3xing4]); (Coll.) Falta de sustancia; pacotilla; (forma unida) costo adicional; ingresos extra; Clasificador para lavados de una prenda
没有人可以共侍二主。,有,,Nadie puede servir al Segundo Maestro.,tener; hay; (forma unida) tener; con; -ful; -Ed; -al (como en 有意 [yo3yi4] intencional)
抱怨不會改變任何東西。,任,,La queja no cambiará nada.,"para asignar; nombrar; para tomar una publicación; oficina; responsabilidad; dejar; para permitir; para dar rienda suelta a; No importa (cómo, qué, etc.); Clasificador para los términos servidos en el cargo, o para cónyuges, novias, etc. (como en 前任男友)"
今晚谁发言？,今,,¿Quién tomará la palabra esta noche?,"ahora; el tiempo presente; actual; contemporáneo; Este (día, año, etc.)"
这个计划虽然已经决定实施了，但是具体细节还需要从长计议。,但,,"Aunque se ha decidido aplicar el plan, es necesario examinar los detalles a largo plazo.",pero; todavía; sin embargo; aún; meramente; solo; justo
我真的不知道。,道,,Realmente no lo sé.,"camino; ruta (cl: 條 | 条 [tiao2], 股 [gu3]); (forma unida) forma; razón; principio; (forma unida) una habilidad; un arte; una especialización; (Taoísmo) el camino; el dao; decir (introducir una cita directa, como en una novela); (forma unida) para expresar; extender (palabras educadas); Clasificador para cosas largas y delgadas (ríos, grietas, etc.), barreras (paredes, puertas, etc.), preguntas (en un examen, etc.), comandos, cursos en una comida, pase en un proceso; (antiguo) Circuito (división administrativa)"
我任何地方都找不到我的傘。,地,,No puedo encontrar mi paraguas en ninguna parte.,tierra; suelo; campo; lugar; tierra; CL: 片 [Pian4]
去您那儿怎么走最方便？,方,,¿Cómo puedo ir a tu casa?,"cuadrado; poder o invitación (matemáticas); vertical; honesto; justo y cuadrado; dirección; lado; parte (a un contrato, disputa, etc.); lugar; método; receta (medicina); justo cuando; solo o justo; clasificador para cosas cuadradas; abbr. para metro cuadrado o cúbico"
你不能在電視上罵粗口。,不能,,No puedes jurar por la televisión.,no puedo; no debe; no debería
你最好別在那種地方走來走去。,地,,Será mejor que no camines por ahí.,tierra; suelo; campo; lugar; tierra; CL: 片 [Pian4]
他晚上很晚回家。,家,,Llegó a casa tarde por la noche.,"hogar; familia; (educado) mi (hermana, tío, etc.); clasificador para familias o empresas; se refiere a las escuelas filosóficas de Pre-Han China; sufijo sustantivo para un especialista en alguna actividad, como un músico o revolucionario, correspondiente al inglés -ist, -er, -ary o -ian; CL: 個 | 个 [GE4]"
从山上走来一只巨大的怪物。,一,,De las montañas vino un monstruo gigante.,"uno; soltero; a (artículo); tan pronto como; completo; entero; todo; a lo largo de; ""Uno"" radical en caracteres chinos (Kangxi Radical 1); también pr. [Yao1] Para mayor claridad al deletrear números dígitos por dígito"
她挥着她的手，直到火车消失在视线之外。,手,,Agitó la mano hasta que el tren desapareció de la vista.,"mano; (formal) para sostener; persona dedicada a ciertos tipos de trabajo; persona experta en ciertos tipos de trabajo; personalmente); conveniente; clasificador para habilidad; Cl: 雙 | 双 [shuang1], 隻 | 只 [zhi1]"
一点问题都没有！,有,,¡No hay problema!,tener; hay; (forma unida) tener; con; -ful; -Ed; -al (como en 有意 [yo3yi4] intencional)
一切正常！,一,,¡Todo está bien!,"uno; soltero; a (artículo); tan pronto como; completo; entero; todo; a lo largo de; ""Uno"" radical en caracteres chinos (Kangxi Radical 1); también pr. [Yao1] Para mayor claridad al deletrear números dígitos por dígito"
对于那些想要修订现行著作权法的人，我希望他们这一晚是轻松的一晚，但实际上我希望其他人的夜晚也是轻松的。,但,,"Para aquellos que deseen modificar las leyes de derechos de autor existentes, espero que tengan una noche fácil esta noche, pero de hecho espero que otros tengan una noche fácil.",pero; todavía; sin embargo; aún; meramente; solo; justo
玛丽在游乐园发现了一个男孩在独自哭泣，便轻声地问道：“喂，你，怎么了呀？迷路了吗？姐姐带你到迷路儿童中心好不好？”,中,,"Mary encontró a un chico llorando solo en el parque de diversiones y dijo: ""Oye, ¿qué te pasa? ¿Estás perdido? ¿Qué tal si mi hermana te lleva al centro de niños perdidos?""","para golpear (la marca); ser golpeado por; sufrir; para ganar (un premio, una lotería)"
她不喜欢唱悲伤的歌。,喜,,No le gusta cantar canciones tristes.,ser aficionado a; me gusta; para disfrutar; ser feliz; sentirse complacido; felicidad; deleitar; contento
我希望你去那裡。,那,,Quiero que vayas allí.,(arcaico) muchos; hermoso; cómo; Vieja variante de 挪 [NUO2]
翻譯這個詞。,翻,,Es una palabra que se traduce.,dar la vuelta; voltear; para anular; para hurgar a través de; traducir; decodificar; para duplicar; para subir sobre o dentro; para cruzar
湯姆非常地喜歡動物。,地,,Tom ama mucho a los animales.,tierra; suelo; campo; lugar; tierra; CL: 片 [Pian4]
"这家商店有很多商品, 说不定也有你想买的东西",有,,"Hay muchas cosas en esta tienda, tal vez hay algo que quieres comprar.",tener; hay; (forma unida) tener; con; -ful; -Ed; -al (como en 有意 [yo3yi4] intencional)
汤姆常常说他不会晚到，可是他一直会。,一,,"Tom solía decir que no iba a llegar tarde, pero siempre lo estaba.","uno; soltero; a (artículo); tan pronto como; completo; entero; todo; a lo largo de; ""Uno"" radical en caracteres chinos (Kangxi Radical 1); también pr. [Yao1] Para mayor claridad al deletrear números dígitos por dígito"
我要溫習一下我的英文。,一,,Voy a estudiar inglés.,"uno; soltero; a (artículo); tan pronto como; completo; entero; todo; a lo largo de; ""Uno"" radical en caracteres chinos (Kangxi Radical 1); también pr. [Yao1] Para mayor claridad al deletrear números dígitos por dígito"
我對口語英語更感興趣。,更,,Me interesa más el inglés que el inglés.,más; aún más; más; aún; aún más
盒子上面不要放任何東西。,面,,No pongas nada en la caja.,"rostro; lado; superficie; aspecto; arriba; Clasificador para objetos con superficies planas como tambores, espejos, banderas, etc."
你凌晨兩點才去睡覺嗎？難怪你今天看起來這麼沒精神了。,神,,¿Te acostaste a las 2:00 a.m.? No me extraña que estés tan inquieto hoy.,dios; deidad; sobrenatural; mágico; misterioso; espíritu; mente; energía; dinámico; expresivo; mirar; expresión; (coll.) Impresionante; asombroso
花园离你家有多远？,有,,¿A qué distancia está el jardín de tu casa?,tener; hay; (forma unida) tener; con; -ful; -Ed; -al (como en 有意 [yo3yi4] intencional)
他的房间总是那么整洁干净。,是,,Su habitación está siempre tan limpia y limpia.,ser (seguido solo por sustantivos); correcto; bien; verdadero; (Reconocimiento respetuoso de un comando) muy bien; (Adverbio para afirmación enfática)
「不方便」的相反詞是「方便」。,反,,"Lo contrario de la palabra ""inconveniente"" es ""insolvencia"".",contrario; marcha atrás; dentro o al revés; para revertir; para regresar; oponerse; opuesto; contra; anti-; rebelarse; para usar analogía; en cambio; abbr. Para el sistema fonético 反切 [FAN3 QIE4]
你唱歌像天使。,像,,Cantas como un ángel.,parecerse; ser como; parecer como si; como; apariencia; imagen; retrato; Imagen bajo una mapeo (matemáticas)
请笑一笑！,一,,"¡Sonríe, por favor!","uno; soltero; a (artículo); tan pronto como; completo; entero; todo; a lo largo de; ""Uno"" radical en caracteres chinos (Kangxi Radical 1); también pr. [Yao1] Para mayor claridad al deletrear números dígitos por dígito"
我想见汤姆。,想,,Quiero ver a Tom.,pensar (sobre); pensar; idear; pensar (que); creer (que); desear; querer (a); perderse (sentirse melancólico por la ausencia de)
把書放在你找到的地方。,地,,Pon el libro donde lo encontraste.,tierra; suelo; campo; lugar; tierra; CL: 片 [Pian4]
你的朋友來得很晚，不是麼？,是,,"Tu amigo llega tarde, ¿no?",ser (seguido solo por sustantivos); correcto; bien; verdadero; (Reconocimiento respetuoso de un comando) muy bien; (Adverbio para afirmación enfática)
你昨天晚上做了什麼？,了,,¿Qué hiciste anoche?,"para terminar; (utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar""); (literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no); completamente (no); (de ninguna manera; para entender claramente (variante de 瞭 | 了 [liao3])"
